Country,City,AccentCity,Region,Population,Latitude,Longitude
ad,aixas,Aix‡s,06,,42.4833333,1.4666667
ad,andorra,Andorra,07,,42.5,1.5166667
ad,ansalonga,Ansalonga,04,,42.5666667,1.5166667
ad,anyos,AnyÛs,05,,42.5333333,1.5333333
ad,canillo,Canillo,02,3292,42.5666667,1.6
ad,casas vila,Casas Vila,03,,42.5333333,1.5666667
ad,engordany,Engordany,08,,42.5166667,1.55
ae,abu dabi,Abu Dabi,01,,24.466667,54.366667
ae,abu hail,Abu Hail,03,,25.285475,55.329611
ae,ad dharbaniya,Ad Dharbaniya,05,,25.783333,55.933333
ae,adgat,Adgat,04,,25.498669,56.358302
ae,adh dhaid,Adh Dhaid,06,,25.288123,55.881571
ae,al ajman,Al Ajman,02,,25.406942,55.444126
ae,al dini,Al Dini,07,,25.932264,56.405128
af,`aaqadari yosufkhel,`Aaqadari Yosufkhel,29,,33.051945,68.65
af,aba,Aba,06,,32.669487,62.16116
af,aba,Aba,10,,32.243587,64.684706
af,abah kah,Abah Kah,24,,36.67363,69.078194
af,abak,Abak,05,,34.234973,67.191593
af,abak,Abak,09,,33.635262,64.740147
af,aba khel,Aba Khel,35,,34.744167,70.287778
af,aband,Aband,42,,35.474953,69.871144
af,ab `aref,Ab `Aref,11,,35.11979,61.48511
af,abas,Abas,08,,33.333,67.643278
af,abas,Abas,27,,34.248889,68.608333
af,`abas`ali,`Abas`ali,39,,32.813402,65.968042
af,abas khel,Abas Khel,28,,31.975853,67.59182
af,abbakhsh,Abbakhsh,02,,34.869305,63.274235
af,ab band,Ab Band,01,,38.290565,70.825527
af,ab barik,Ab Barik,07,,35.57803,65.101776
af,ab bazan,Ab Bazan,26,,36.933547,69.945244
af,abcakan,Abcakan,17,,33.894167,69.235833
af,abchak,Abchak,41,,33.818235,65.880785
af,abdan,Abdan,33,,36.033889,66.121944
af,ab dara,Ab Dara,30,,36.288461,66.853894
af,ab darah,Ab Darah,13,,34.71122,69.319626
af,abdarreh,Abdarreh,40,,34.789557,68.666977
af,`abdian,`Abdian,18,,34.452759,70.473251
af,`abd ol ahadkhan kariz,`Abd ol Ahadkhan Kariz,23,,31.842262,65.854792
af,`abd ol `aziz,`Abd ol `Aziz,19,,31.147252,62.090684
af,`abd ol hamid kowtkay,`Abd ol Hamid Kowtkay,37,,33.254221,69.859195
af,`abdolkheyl,`Abdolkheyl,14,,34.950691,69.60923
af,`abd ol malek,`Abd ol Malek,32,,35.929326,68.010447
af,abdur rahman,Abdur Rahman,36,,33.749561,69.798149
af,ab-e barik,Ab-e Barik,03,,35.859072,69.749211
af,ab kolok,Ab Kolok,31,,37.059722,66.043333
af,abo tanga,Abo Tanga,34,,34.568897,70.893082
af,adamwak,Adamwak,38,,35.202559,71.051513
af,nazand,Nazand,,,32.400278,69.254722
ag,aberdeen,Aberdeen,04,,17.0666667,-61.8166667
ag,all saints,All Saints,06,2526,17.05,-61.8
ag,barnes hill,Barnes Hill,03,,17.15,-61.8
ag,betty's hope,Betty's Hope,07,,17.0666667,-61.7333333
ag,bishops,Bishops,05,,17.0333333,-61.8166667
ag,codrington,Codrington,01,682,17.6333333,-61.8333333
ag,collins,Collins,08,,17.0833333,-61.7333333
ai,bethel,Bethel,00,,18.2,-63.1
al,1 maj,1 Maj,51,,40.11,19.7622222
al,1 maji,1 Maji,46,,40.7075,20.3947222
al,abat,Abat,49,,42.3125,19.8077778
al,abaz,Abaz,42,,41.5283333,19.7880556
al,abazaj,Abazaj,43,,40.9816667,19.8486111
al,achmetaj,Achmetaj,47,,42.3944444,20.1391667
al,ada,Ada,44,,40.6147222,19.5244444
al,agalli,Agalli,40,,40.575,20.0002778
al,agirocastro,Agirocastro,45,,40.0758333,20.1388889
al,ahmedaj,Ahmedaj,50,,41.4341667,19.6797222
al,alessio,Alessio,48,,41.7836111,19.6436111
al,(( ali hanit )),(( Ali Hanit )),41,,41.6166667,20.05
am,abaran,Abaran,01,,40.5961111,44.3536111
am,abilkend,Abilkend,02,,40.0236111,44.4244444
am,abovyan,Abovyan,05,35677,40.2691667,44.6244444
am,achadzhur,Achadzhur,09,,40.9902778,45.1452778
am,achanan,Achanan,08,,39.2347222,46.4313889
am,adamkhan,Adamkhan,04,,40.1875,45.1938889
am,agarakadzor,Agarakadzor,10,1195,39.7363889,45.3455556
am,agarak,Agarak,06,1278,41.0105556,44.4675
